Id,Designator,Package,Quantity,Designation,Supplier and ref,MFR Part #,digikey part #,
1,"U2,U3,U5",USON-10_2.5x1.0mm_P0.5mm,3,TPD4EUSB30,,TPD4EUSB30DQAR,296-28063-1-ND,
2,J15,PinSocket_1x03_P2.54mm_Vertical,1,Temp_Sensor,,,,
3,D2,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,LED Red,,150080RS75000,732-4984-1-ND,
4,J7,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Fan_conn,,B4B-XH-A(LF)(SN),455-2249-ND,
5,Module1,Raspberry-Pi-4-Compute-Module,2,HD Connectors,,DF40C-100DS-0.4V(51),H11615CT-ND,
6,"J12,J11,J9",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03,,,,
7,J5,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,PWR_IN,,B3B-XH-A(LF)(SN),455-2248-ND,
8,"U1,U7",SOT-353_SC-70-5,2,74LVC1G07SE-7,,74LVC1G07SE-7,74LVC1G07SE-7DICT-ND,
9,J3,PCIex1-36,1,PCIe_conn,,,,
10,J6,PinSocket_1x06_P2.54mm_Vertical,1,12-3.3_BUCK,aliexpress,,,https://www.aliexpress.com/item/32817933017.html?spm=a2g0s.9042311.0.0.27424c4dr779wi
11,J4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Sata_PWR,,B4B-XH-A(LF)(SN),455-2249-ND,
12,U4,MagJack_0826-1G1T-43-F,1,MagJack-0826-1G1T-43-F,,0826-1G1T-43-F,507-1427-ND,
13,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,36K 1%,,MBB02070C3602FCT00,BC4468CT-ND,
14,U6,MSOP-8_3x3mm_P0.65mm,1,EMC2301-1-ACZL-TR,,EMC2301-1-ACZL-TR,EMC2301-1-ACZL-CT-ND,
15,"C1,C2",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,100n,,08053C104KAT2A,478-3755-1-ND,
16,J10,PinHeader_2x07_P2.54mm_Vertical,1,Conn_02x07_Odd_Even,,,,
17,"R1,R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,1k,,RNF14FTD1K00,RNF14FTD1K00CT-ND,
18,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2.2K 1%,,CF14JT2K20,CF14JT2K20CT-ND,
19,J1,USB_A_Vertical,1,USB_A,,SS-52100-002,380-1413-ND,
20,"R3,R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,470R,,RNMF14FTC470R,S470CACT-ND,
21,J13,PinHeader_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,,,,
22,J2,HDMI EDAC 690-019-298-412,1,HDMI_header,,2000-1-1-20-00-BK,1175-1700-ND,
23,D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,LED,,150080VS75000,732-4986-1-ND,
24,J8,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,OLED_conn,,B5B-XH-A(LF)(SN),455-2270-ND,